PIMS ID,Product,Suppliers
HIPBP,📦Heska IV Pump Battery Pack,Heska Corp
POCHESIV,📦Power Cord for Heska IV Pump,Heska Corp
IBINDER1,1 inch binder,Office Product Solutions
2I1FACWM,2 in 1 Feline Aersol Chamber w/ Masks,MWI Veterinary Supply
I3SPACE,3 compartment Organizer,American Animal Hospital
VSFELFIV,Abaxis VetScan FELV/FIV Rapid Test,"MWI Veterinary Supply, Patterson Veterinary Supply, Zoetis/Pfizer Inc"
I601,Acepromazine 10mg/ml INJ,"Butler Schein, MWI Veterinary Supply"
ASGST1,Acteon Subgingival Scaler Tip #1,Patterson Veterinary Supply
IACTBK,Activity Books AAHA,American Animal Hospital
DAP,ADAPTIL Diffuser,MWI Veterinary Supply
DAPR,ADAPTIL Refills ( ThunderEase),"MWI Veterinary Supply, Patterson Veterinary Supply"
ADTRSP20,Adaptil Travel Spray 20ml,MWI Veterinary Supply
IADQ,Adequan 100mg/ml INJ,"MWI Veterinary Supply, Nordic Naturals, Novartis Animal Health US, Patterson Veterinary Supply"
NONBILL-IADQ,Adequan 100mg/ml INJ,"MWI Veterinary Supply, Nordic Naturals, Novartis Animal Health US, Patterson Veterinary Supply"
ADEQEQ50,Adequan Equine 50ml Bottle (100mg/mL),"MWI Veterinary Supply, Patterson Veterinary Supply"
ALC70P,Alcohol 70% Pint,MWI Veterinary Supply
IA70,Alcohol 70% Qt,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IAP4,Alconox Powder 4 lb.,"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
ALFAINJ,Alfaxalone 10mg/ml INJ (Alfaxan),"MWI Veterinary Supply, Patterson Veterinary Supply"
IALSG,Almond Pearl Lotion Soap Gal,Bayse Janitor Supply
IAOCG,Aloe & Oatmeal Conditioner Gal,"MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
ALTR3,AlphaTrak 3 Starter Kit,MWI Veterinary Supply
IACS,Alphatrak Control,Patterson Vet Webster
IALPL,Alphatrak Lancets 100ct,MWI Veterinary Supply
IAB1/2,Amber Dropper bottle 1/2oz,"Butler Schein, Medcare Products, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
IAB1,Amber Dropper bottle 1oz,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply, Vetrimark"
IPOLYF,Ampicillin ( Polyflex ) 200mg/ml INJ,"Butler Schein, MWI Veterinary Supply, Patterson Vet Webster, Patterson Veterinary Supply"
AMPSUL,Ampicillin Sulbactam 1.5gm/Vial INJ (37.5mg/mL),"MWI Veterinary Supply, Patterson Veterinary Supply"
IAMPI,Ampicllin 1gm INJ (100mg/mL),"Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IAFC4,"Anes. F Circuit 40""`","Butler Schein, MWI Veterinary Supply, Patterson Veterinary Supply"
IAB.5L,Anesthesia Bag .5 liter,"Butler Schein, MWI Veterinary Supply"
IAB1L,Anesthesia Bag 1 liter,Butler Schein
