actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,HCCRPE,📦Heska cCRP Element i+ (12/Box),,,,Each,Each,23.0,no,no,,46.0,0,,,,
,HESKAC,"📦Heska Cortisol, Element i+ (12/Box)",,,,Each,Each,30.0,no,no,,60.0,0,,,,
,NUQEI,"📦Heska NuQ , Element i+ (12/Box)",,,,Each,Each,35.0,no,no,,70.0,0,,,,
,UA10,Abaxis Vetscan UA 10 Strip,,,,Each,Each,0.0,no,no,,3.44,0,,,,
,UA14,Abaxis Vetscan UA 14 Strip,,,,Each,Each,7.4,no,no,,14.81,0,,,,
,ATAPD,Abdominocentesis - Diagnostic,,,,Each,Each,0.0,no,no,,98.5,0,,,,
,VITALS416,Abdominocentesis - Left (mLs),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,VITALS417,Abdominocentesis - Right (mLs),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,600,Abdominocentesis - Therapeutic,,,,Each,Each,0.0,no,no,,70.5,0,,,,
,500,Abscess-Surgical Treatment,,,,Each,Each,0.0,no,no,,95.0,0,,,,
,MB,ADD ON Medicated Shampoo,,,,Each,Each,0.0,no,no,,20.5,0,,,,
,PR,Add- on Patellar regrooving,,,,Each,Each,0.0,no,no,,400.0,0,,,,
,NONBILL-IADQ,Adequan 100mg/ml INJ,,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,NONBILL-ADEQEQ50,Adequan Equine 50ml Bottle (100mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,ACTHUT,Adrenal Panel to UT,,,,Each,Each,220.0,no,no,,275.0,0,,,,
,AEROD,Aero Dawg,,,,Each,Each,45.0,no,no,,73.45,0,,,,
,ALP2REN,AlphaTrak2 Rental Per Week,,,,Each,Each,0.0,no,no,,35.0,0,,,,
,NONBILL-AMPSUL,Ampicillin Sulbactam 1.5gm/Vial INJ (37.5mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,NONBILL-IAMPI,Ampicllin 1gm INJ (100mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,504,Anal Sac Removal / bilateral,,,,Each,Each,0.0,no,no,,515.0,0,,,,
,123,Anal sacs - infusion,,,,Each,Each,0.0,no,no,,46.5,0,,,,
,VITALS600,Animal Trauma Triage (ATT) Score Total,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,AC100,Antech Accuplex 4 ( HW plus Tick),,,,Each,Each,23.75,no,no,,71.25,0,,,,
,220,Antech Aerobic & Anaerobic MIC Culture,,,,Each,Each,203.54,no,no,,407.08,0,,,,
,225,Antech Aerobic Bacteria MIC Culture,,,,Each,Each,150.92,no,no,,339.57,0,,,,
,SA170A,Antech Autoimmune Profile- Canine,,,,Each,Each,191.26,no,no,,382.52,0,,,,
,T225,"Antech Bile Acid, Resting",,,,Each,Each,74.13,no,no,,166.79,0,,,,
,T220,Antech Bile Acids (Pre and Post),,,,Each,Each,115.45,no,no,,259.76,0,,,,
,T520,Antech Bladder Tumor Antigen - Canine,,,,Each,Each,140.57,no,no,,316.28,0,,,,
,ANTBROML,Antech Bromide Levels,,,,Each,Each,153.57,no,no,,345.53,0,,,,
,S16131,Antech Brucella AGID/ SAT,,,,Each,Each,139.49,no,no,,313.85,0,,,,
,ACADBRA,Antech CADET BRAF,,,,Each,Each,229.25,no,no,,343.87,0,,,,
,S18537,Antech Calcium & Ionized Calcium,,,,Each,Each,92.89,no,no,,209.0,0,,,,
,T110,Antech Calcium Level,,,,Each,Each,37.1,no,no,,83.47,0,,,,
,1846,"Antech Calcium, Ionized,  PTH",,,,Each,Each,162.03,no,no,,364.56,0,,,,
,CPBNP,Antech Canine Cardio BNP,,,,Each,Each,93.35,no,no,,210.03,0,,,,
,85424,Antech Canine Junior with Accuplex,,,,Each,Each,49.83,no,no,,99.66,0,,,,
,T995,Antech Canine PCR Respiratory Panel,,,,Each,Each,171.4,no,no,,342.8,0,,,,
,T960,Antech Canine PCR Tick Borne Panel,,,,Each,Each,164.26,no,no,,246.39,0,,,,
,T475,Antech Canine Progesterone Levels,,,,Each,Each,135.43,no,no,,304.71,0,,,,
,T830C,Antech Canine Urine Microalbumin Reflex,,,,Each,Each,9.88,no,no,,27.17,0,,,,
,T330,Antech CBC,,,,Each,Each,56.54,no,no,,127.21,0,,,,
,REVW,Antech CBC w/ Path Review,,,,Each,Each,50.22,no,no,,112.99,0,,,,
,SA090,"Antech CBC, CHEM25, T4, freeT4",,,,Each,Each,87.84,no,no,,197.64,0,,,,
,9523,"Antech CBC, CHEM25, T4, UA",,,,Each,Each,92.88,no,no,,199.69,0,,,,
,T127,Antech Cholesterol/Triglycerides only,,,,Each,Each,57.83,no,no,,130.11,0,,,,
,S16195,Antech Cobalamin B-12 & Folate Levels,,,,Each,Each,173.82,no,no,,260.73,0,,,,
,T840,Antech Cobalamin B12,,,,Each,Each,92.89,no,no,,139.33,0,,,,
,ACVIGMGG,Antech Corona Virus IgG and IgM,,,,Each,Each,105.45,no,no,,210.9,0,,,,
,AST,Antech Cortisol Pre&Post ( ACTH Stim ),,,,Each,Each,140.57,no,no,,316.28,0,,,,
,T790,Antech Cryptosporidium & Giardia Fecal,,,,Each,Each,189.99,no,no,,284.98,0,,,,
,CYT,Antech Cytology,,,,Each,Each,81.43,no,no,,183.21,0,,,,
,DERM,Antech Dermatopathology,,,,Each,Each,295.39,no,no,,369.23,0,,,,
,ECASPO,Antech Extended C & S (Per Organism),,,,Each,Each,36.97,no,no,,73.94,0,,,,
,T965,Antech Fastpanel PCR Fel Flea/Tick,,,,Each,Each,164.26,no,no,,328.52,0,,,,
,T805,Antech Fecal (Ova / Parasites ),,,,Each,Each,9.28,no,no,,37.12,0,,,,
,T808,Antech Fecal & Giardia ELISA,,,,Each,Each,18.64,no,no,,55.92,0,,,,
,SA622,"Antech Feline CBC, CHEM11, FELV, FIV",,,,Each,Each,51.54,no,no,,115.96,0,,,,
,9979,Antech Feline Comp Well Screen,,,,Each,Each,129.34,no,no,,291.01,0,,,,
,T630,Antech Feline Heartworm Antig. + Antib.,,,,Each,Each,92.26,no,no,,207.58,0,,,,
,T985,Antech Feline Hemoplasma PCR Panel,,,,Each,Each,88.47,no,no,,199.05,0,,,,
,T620,Antech Feline HW Antigen,,,,Each,Each,18.72,no,no,,42.12,0,,,,
,S86965,Antech Feline Intestinal Lymphoma Panel,,,,Each,Each,406.46,no,no,,456.06,0,,,,
,T993,Antech Feline Resp PCR w/ SARS-COV-2,,,,Each,Each,279.52,no,no,,419.28,0,,,,
,AFPCRP,Antech Feline Respiratory PCR Panel,,,,Each,Each,164.26,no,no,,328.52,0,,,,
,T830F,Antech Feline Urine Microalbumin Reflex,,,,Each,Each,9.88,no,no,,27.17,0,,,,
,IL24,"Antech FIV Ab, FeLV Ag (ELISA)",,,,Each,Each,25.46,no,no,,57.28,0,,,,
,S17029,Antech Food/Enviromental Allergy Screen,,,,Each,Each,327.2,no,no,,487.97,0,,,,
,T460,Antech Free T4 (Equilibrium Dialysis),,,,Each,Each,56.01,no,no,,112.02,0,,,,
,ADFT4,Antech Free T4 ED Add-on,,,,Each,Each,47.53,no,no,,106.95,0,,,,
,ADDFRU,Antech Fructosamine (Add-On),,,,Each,Each,37.34,no,no,,84.01,0,,,,
,S16345,Antech Fructosamine Level,,,,Each,Each,56.01,no,no,,112.02,0,,,,
,T145,Antech GGT,,,,Each,Each,37.1,no,no,,83.47,0,,,,
,T380,Antech Hemotropic Mycoplasma,,,,Each,Each,42.25,no,no,,84.5,0,,,,
,HISTO2,Antech Histopath w/ Written Rep. 2 Sites,,,,Each,Each,176.31,no,no,,352.62,0,,,,
,HISTO,"Antech Histopathology, Full Written Rprt",,,,Each,Each,110.33,no,no,,220.66,0,,,,
,T991,Antech Keyscreen GI Parasite PCR Panel,,,,Each,Each,25.25,no,no,,63.12,0,,,,
,S16510,Antech Lepto Titer,,,,Each,Each,139.92,no,no,,314.82,0,,,,
,ALC,Antech Liver Chemistry,,,,Each,Each,84.27,no,no,,168.54,0,,,,
,S86601,Antech Mast Cell Tumor Prognostic Panel,,,,Each,Each,473.04,no,no,,709.56,0,,,,
,ANNEOC,Antech Neospora Caninum,,,,Each,Each,132.78,no,no,,298.75,0,,,,
,ANTPHENA,Antech Phenobarb Levels ( Add-On ),,,,Each,Each,86.12,no,no,,193.77,0,,,,
,T750,Antech Phenobarbital Level,,,,Each,Each,98.51,no,no,,221.64,0,,,,
,SA050,"Antech Pre-op CBC, CHEM9, PT, PTT, SDMA",,,,Each,Each,32.86,no,no,,82.15,0,,,,
,ACPSL,Antech Precision PSL,,,,Each,Each,28.86,no,no,,64.93,0,,,,
,T165,Antech PrecisionPSL,,,,Each,Each,17.0,no,no,,42.5,0,,,,
,ADD290,Antech PT/PTT ( Add- On),,,,Each,Each,28.97,no,no,,65.18,0,,,,
,S1204,Antech Rabies Antibody Titer Non-Export,,,,Each,Each,230.25,no,no,,518.06,0,,,,
,SA311,Antech Renal Panel w/ SDMA,,,,Each,Each,73.9,no,no,,166.27,0,,,,
,T1035,Antech SDMA,,,,Each,Each,25.55,no,no,,57.48,0,,,,
,AC727,Antech Senior Wellness with Titers,,,,Each,Each,283.0,no,no,,566.0,0,,,,
,9978,Antech Sr Canine Wellness w/ Accuplex,,,,Each,Each,96.6,no,no,,193.2,0,,,,
,T4,"Antech Thyroid T4 only,  Post Pill",,,,Each,Each,33.92,no,no,,76.32,0,,,,
,SA380,"Antech Thyroid T4, FT4, cTSH",,,,Each,Each,181.16,no,no,,407.61,0,,,,
,T4PRO5,"Antech Thyroid T4, FT4ED, TSH, Thyroglob",,,,Each,Each,207.51,no,no,,466.89,0,,,,
,SA330,Antech Tick Serology,,,,Each,Each,161.9,no,no,,364.27,0,,,,
,T205,Antech Triglycerides,,,,Each,Each,37.1,no,no,,83.47,0,,,,
,910,Antech Urinalysis,,,,Each,Each,22.27,no,no,,66.81,0,,,,
,3004,Antech Urine Delayed,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,M130,Antech Urine MIC Culture,,,,Each,Each,115.0,no,no,,230.0,0,,,,
,T775,Antech Urine Protein / Creatine Reflex,,,,Each,Each,10.98,no,no,,30.19,0,,,,
,S17123,Antech Von Willebrand's Factor,,,,Each,Each,155.74,no,no,,350.41,0,,,,
,VITALS23,Appetite - Food / Note,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,510,Application-Mason Metasplint,,,,Each,Each,0.0,no,no,,110.0,0,,,,
,NONBILL-ARANESP,Aranesp (Darbepoetin) 25 mcg/1ml,,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,AXVITALS158,AX - CRI - Buprenorphine (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
