actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,VITALS43b,A-FAST Scan,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,ARBAL,A/R Balance from AVIMARK as of 4/8/26,,,,Each,Each,,no,no,,0.0,0,,,,
,ALAV,Abdominal Lavage,,,,Each,Each,0.0,no,no,,85.0,0,,,,
,ULT,Abdominal Ultrasound,,,,Each,Each,350.0,no,no,,460.0,0,,,,
,ABCDEB,Abscess Debridement,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,121,Abscess-Clean/Medicate,,,,Each,Each,0.0,no,no,,66.5,0,,,,
,ACTHMI,ACTH STIM TEST ( Michigan),,,,Each,Each,32.0,no,no,,72.0,0,,,,
,LA,Acupuncture and Laser Therapy,,,,Each,Each,0.0,no,no,,99.5,0,,,,
,AFREELIB,Administer Freestyle Libre,,,,Each,Each,35.0,no,no,,42.5,0,,,,
,506A,Anesthesia - Induction,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,Anesindadm,Anesthesia - Induction Admin.,,,,Each,Each,,yes,no,0.00%,15.5,0,,,,
,507,Anesthesia - Intravenous,,,,Each,Each,0.0,no,no,,47.5,0,,,,
,505A,Anesthesia - Isoflurane Add'l 15 min.,,,,Each,Each,0.0,no,no,,25.0,0,,,,
,505,Anesthesia - Isoflurane Initial 30 min.,,,,Each,Each,0.0,no,no,,75.5,0,,,,
,I508,Anesthesia - Local,,,,Each,Each,0.0,no,no,,44.5,0,,,,
,I508A,Anesthesia - Local / Intra-op,,,,Each,Each,0.0,no,no,,26.5,0,,,,
,506,Anesthesia - Premedication,,,,Each,Each,0.0,no,no,,15.5,0,,,,
,161,Anesthesia - Sedation,,,,Each,Each,0.0,no,no,,0.0,56.5,,,,
,IAML,Anesthesia Mask Lg,,,,Each,Each,39.07,no,no,,0.0,0,,,,
,AHE,Annual Health Exam w/ Vaccines,,NOT FOR TRACKING,,Each,Each,0.0,no,no,,62.0,0,,,,
,AAIRR,Antech AI Rapid Read Consult,,,,Each,Each,13.3,no,no,,37.5,0,,,,
,T785,Antech Baermann (Fecal Test),,,,Each,Each,130.56,no,no,,195.84,0,,,,
,ACDEA1.1,Antech Canine Blood Typing DEA 1.1 Only,,,,Each,Each,154.98,no,no,,348.7,0,,,,
,T978,Antech Canine Lepto PCR Blood/Urine,,,,Each,Each,123.07,no,no,,276.9,0,,,,
,T330,Antech CBC,,,,Each,Each,56.54,no,no,,127.21,0,,,,
,REVW,Antech CBC w/ Path Review,,,,Each,Each,50.22,no,no,,112.99,0,,,,
,SA090,"Antech CBC, CHEM25, T4, freeT4",,,,Each,Each,87.84,no,no,,197.64,0,,,,
,9523,"Antech CBC, CHEM25, T4, UA",,,,Each,Each,92.88,no,no,,199.69,0,,,,
,224,"Antech Cortisol, Resting ( 1 sample )",,,,Each,Each,101.11,no,no,,227.49,0,,,,
,T790,Antech Cryptosporidium & Giardia Fecal,,,,Each,Each,189.99,no,no,,284.98,0,,,,
,ADERMC,Antech Dermatopathology Consult,,,,Each,Each,323.24,no,no,,436.37,0,,,,
,T450,Antech Dexamethasone Suppression Test,,,,Each,Each,163.88,no,no,,257.62,0,,,,
,T805,Antech Fecal (Ova / Parasites ),,,,Each,Each,9.28,no,no,,37.12,0,,,,
,T808,Antech Fecal & Giardia ELISA,,,,Each,Each,18.64,no,no,,55.92,0,,,,
,SA622,"Antech Feline CBC, CHEM11, FELV, FIV",,,,Each,Each,51.54,no,no,,115.96,0,,,,
,S86493,Antech Flow Cytometry Test,,,,Each,Each,231.53,no,no,,0.0,0,,,,
,AIRC,Antech Imaging Radiologist Consult,,,,Each,Each,120.25,no,no,,193.5,0,,,,
,AUIC,Antech Imaging Ultrasound Consult,,,,Each,Each,330.0,no,no,,330.0,0,,,,
,T390,Antech Microflaria Knott's Test,,,,Each,Each,55.34,no,no,,124.51,0,,,,
,SA050,"Antech Pre-op CBC, CHEM9, PT, PTT, SDMA",,,,Each,Each,32.86,no,no,,82.15,0,,,,
,910,Antech Urinalysis,,,,Each,Each,22.27,no,no,,66.81,0,,,,
,VITALS23,Appetite - Food / Note,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,512,Application-Thomas Splint,,,,Each,Each,0.0,no,no,,175.0,0,,,,
,AQS,Apply Quick splint,,,,Each,Each,0.0,no,no,,165.0,0,,,,
,ASP,Apply Spoon Splint,,,,Each,Each,0.0,no,no,,69.5,0,,,,
,NONBILL026,Apply/Check E-Collar (on at all times),,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL200,Arterial Catheter Care,,,,Each,Each,,no,yes,0.00%,,0,,,,
,NONBILL134,Assess and Clean Skin Around Trach Tube,,,,Each,Each,,no,yes,0.00%,,0,,,,
,AFIP,Auburn - Feline FIP mRNA PCR Test,,,,Each,Each,90.0,no,no,,155.0,0,,,,
,AXVITALS158,AX - CRI - Buprenorphine (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS160,AX - CRI - Butorphanol (mg/kg/hr),,NOT FOR TRACKING,,Milligram per Kilogram per Hour,Milligram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS168,AX - CRI - Dexmedetomidine (mcg/kg/hr),,NOT FOR TRACKING,,Microgram per Kilogram per Hour,Microgram per Kilogram per Hour,0.0,no,yes,0.00%,,0,,,,
,AXVITALS176,AX - CRI - Dobutamine (mcg/kg/min),,NOT FOR TRACKING,,Microgram per Kilogram per Minute,Microgram per Kilogram per Minute,0.0,no,yes,0.00%,,0,,,,
