actions,PIMS ID,Product,Suppliers,Inventory Tags,Manufacturer,Buying Unit,Selling Unit,Buying Cost,Fixed Price,Non Billable,Markup,Selling Price,Dispensing Fee,Location,Priority,QOH Min,QOH Max
,HCCRPE,📦Heska cCRP Element i+ (12/Box),,,,Each,Each,23.0,no,no,,46.0,0,,,,
,HESKAC,"📦Heska Cortisol, Element i+ (12/Box)",,,,Each,Each,30.0,no,no,,60.0,0,,,,
,HIPBP,📦Heska IV Pump Battery Pack,,,,Each,Each,50.0,no,no,,0.0,0,,,,
,NUQEI,"📦Heska NuQ , Element i+ (12/Box)",,,,Each,Each,35.0,no,no,,70.0,0,,,,
,POCHESIV,📦Power Cord for Heska IV Pump,,,,Each,Each,20.0,no,no,,0.0,0,,,,
,IBINDER1,1 inch binder,,,,Each,Each,1.55,no,no,,0.0,0,,,,
,2I1FACWM,2 in 1 Feline Aersol Chamber w/ Masks,,,,Each,Each,38.97,no,no,,60.98,0,,,,
,I3SPACE,3 compartment Organizer,,,,Each,Each,10.95,no,no,,0.0,0,,,,
,VITALS43b,A-FAST Scan,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,ARBAL,A/R Balance from AVIMARK as of 4/8/26,,,,Each,Each,,no,no,,0.0,0,,,,
,VSFELFIV,Abaxis VetScan FELV/FIV Rapid Test,,,,Each,Each,23.4,no,no,,46.8,0,,,,
,UA10,Abaxis Vetscan UA 10 Strip,,,,Each,Each,0.0,no,no,,3.44,0,,,,
,UA14,Abaxis Vetscan UA 14 Strip,,,,Each,Each,7.4,no,no,,14.81,0,,,,
,VITALS605,Abdominal Fluid Score (AFS) (/4),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,ALAV,Abdominal Lavage,,,,Each,Each,0.0,no,no,,85.0,0,,,,
,ULT,Abdominal Ultrasound,,,,Each,Each,350.0,no,no,,460.0,0,,,,
,ATAPD,Abdominocentesis - Diagnostic,,,,Each,Each,0.0,no,no,,98.5,0,,,,
,VITALS416,Abdominocentesis - Left (mLs),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,VITALS417,Abdominocentesis - Right (mLs),,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,600,Abdominocentesis - Therapeutic,,,,Each,Each,0.0,no,no,,70.5,0,,,,
,ABCDEB,Abscess Debridement,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,121,Abscess-Clean/Medicate,,,,Each,Each,0.0,no,no,,66.5,0,,,,
,500,Abscess-Surgical Treatment,,,,Each,Each,0.0,no,no,,95.0,0,,,,
,I601,Acepromazine 10mg/ml INJ,,,,Milliliter,Milliliter,0.54,no,no,,1.08,36.5,,,,
,ASGST1,Acteon Subgingival Scaler Tip #1,,,,Each,Each,179.0,no,no,,0.0,0,,,,
,ACTHMI,ACTH STIM TEST ( Michigan),,,,Each,Each,32.0,no,no,,72.0,0,,,,
,IACTBK,Activity Books AAHA,,,,Each,Each,3.95,no,no,,0.0,0,,,,
,AT,Acupuncture,,,,Each,Each,0.0,no,no,,77.5,0,,,,
,AAO,Acupuncture - Aquapuncture (add-on),,,,Each,Each,0.0,no,no,,19.5,0,,,,
,DNA,Acupuncture - Dry Needle,,,,Each,Each,0.0,no,no,,73.5,0,,,,
,AEAA,Acupuncture - Electro (add-on),,,,Each,Each,0.0,no,no,,26.5,0,,,,
,EA,Acupuncture - Electroacupuncture,,,,Each,Each,0.0,no,no,,77.5,0,,,,
,LAAO,Acupuncture - Laser (add-on),,,,Each,Each,0.0,no,no,,26.5,0,,,,
,ATBI,Acupuncture - Titanium Bead Implantation,,,,Each,Each,0.0,no,no,,417.0,0,,,,
,LA,Acupuncture and Laser Therapy,,,,Each,Each,0.0,no,no,,99.5,0,,,,
,DAP,ADAPTIL Diffuser,,,,Each,Each,16.85,no,no,,37.71,0,,,,
,DAPR,ADAPTIL Refills ( ThunderEase),,,,Each,Each,15.66,no,no,,23.89,0,,,,
,ADTRSP20,Adaptil Travel Spray 20ml,,,,Each,Each,13.0,no,no,,18.43,0,,,,
,MB,ADD ON Medicated Shampoo,,,,Each,Each,0.0,no,no,,20.5,0,,,,
,PR,Add- on Patellar regrooving,,,,Each,Each,0.0,no,no,,400.0,0,,,,
,IADQ,Adequan 100mg/ml INJ,,,,Each,Each,12.3,no,no,,24.6,44.5,,,,
,NONBILL-IADQ,Adequan 100mg/ml INJ,,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,NONBILL-ADEQEQ50,Adequan Equine 50ml Bottle (100mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,ADEQEQ50,Adequan Equine 50ml Bottle (100mg/mL),,,,Each,Each,429.0,no,no,,0.0,0,,,,
,NONBILL131,Adjust Endotracheal Tube / Deflate Cuff,,,,Each,Each,,no,yes,0.00%,,0,,,,
,AFREELIB,Administer Freestyle Libre,,,,Each,Each,35.0,no,no,,42.5,0,,,,
,ACTHUT,Adrenal Panel to UT,,,,Each,Each,220.0,no,no,,275.0,0,,,,
,AEROD,Aero Dawg,,,,Each,Each,45.0,no,no,,73.45,0,,,,
,ALC70P,Alcohol 70% Pint,,,,Each,Each,3.29,no,no,,0.0,0,,,,
,IA70,Alcohol 70% Qt,,,,Each,Each,3.59,no,no,,0.0,0,,,,
,IAP4,Alconox Powder 4 lb.,,,,Each,Each,41.34,no,no,,83.48,0,,,,
,ALFAINJ,Alfaxalone 10mg/ml INJ (Alfaxan),,,,Milliliter,Milliliter,4.25,no,no,,4.26,15.5,,,,
,IALSG,Almond Pearl Lotion Soap Gal,,,,Each,Each,11.24,no,no,,11.8,0,,,,
,IAOCG,Aloe & Oatmeal Conditioner Gal,,,,Each,Each,41.15,no,no,,37.79,0,,,,
,ALTR3,AlphaTrak 3 Starter Kit,,,,Each,Each,64.75,no,no,,0.0,0,,,,
,IACS,Alphatrak Control,,,,Each,Each,13.35,no,no,,0.0,0,,,,
,IALPL,Alphatrak Lancets 100ct,,,,Each,Each,17.01,no,no,,22.32,0,,,,
,ALP2REN,AlphaTrak2 Rental Per Week,,,,Each,Each,0.0,no,no,,35.0,0,,,,
,IAB1/2,Amber Dropper bottle 1/2oz,,,,Each,Each,0.66,no,no,,0.63,0,,,,
,IAB1,Amber Dropper bottle 1oz,,,,Each,Each,0.68,no,no,,0.72,0,,,,
,IPOLYF,Ampicillin ( Polyflex ) 200mg/ml INJ,,,,Milliliter,Milliliter,0.24,no,no,,0.48,36.5,,,,
,NONBILL-AMPSUL,Ampicillin Sulbactam 1.5gm/Vial INJ (37.5mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,AMPSUL,Ampicillin Sulbactam 1.5gm/Vial INJ (37.5mg/mL),,,,Each,Each,11.43,no,no,,22.86,36.5,,,,
,IAMPI,Ampicllin 1gm INJ (100mg/mL),,,,Each,Each,3.59,no,no,,10.88,36.5,,,,
,NONBILL-IAMPI,Ampicllin 1gm INJ (100mg/mL),,,,Milliliter,Milliliter,,no,yes,0.00%,,0,,,,
,501,Amputation-Digit,,,,Each,Each,0.0,no,no,,380.0,0,,,,
,502,Amputation-Extremity,,,,Each,Each,0.0,no,no,,675.0,0,,,,
,503,Amputation-Tail Puppy,,,,Each,Each,0.0,no,no,,90.0,0,,,,
,504,Anal Sac Removal / bilateral,,,,Each,Each,0.0,no,no,,515.0,0,,,,
,123,Anal sacs - infusion,,,,Each,Each,0.0,no,no,,46.5,0,,,,
,IAFC4,"Anes. F Circuit 40""`",,,,Each,Each,23.54,no,no,,0.0,0,,,,
,506A,Anesthesia - Induction,,,,Each,Each,0.0,no,no,,0.0,0,,,,
,Anesindadm,Anesthesia - Induction Admin.,,,,Each,Each,,yes,no,0.00%,15.5,0,,,,
,507,Anesthesia - Intravenous,,,,Each,Each,0.0,no,no,,47.5,0,,,,
,505A,Anesthesia - Isoflurane Add'l 15 min.,,,,Each,Each,0.0,no,no,,25.0,0,,,,
,505,Anesthesia - Isoflurane Initial 30 min.,,,,Each,Each,0.0,no,no,,75.5,0,,,,
,I508,Anesthesia - Local,,,,Each,Each,0.0,no,no,,44.5,0,,,,
,I508A,Anesthesia - Local / Intra-op,,,,Each,Each,0.0,no,no,,26.5,0,,,,
,506,Anesthesia - Premedication,,,,Each,Each,0.0,no,no,,15.5,0,,,,
,161,Anesthesia - Sedation,,,,Each,Each,0.0,no,no,,0.0,56.5,,,,
,IAB.5L,Anesthesia Bag .5 liter,,,,Each,Each,26.57,no,no,,0.0,0,,,,
,IAB1L,Anesthesia Bag 1 liter,,,,Each,Each,15.25,no,no,,0.0,0,,,,
,IAB2L,Anesthesia bag 2 liter,,,,Each,Each,26.34,no,no,,0.0,0,,,,
,IAB3L,Anesthesia bag 3 liter,,,,Each,Each,18.67,no,no,,0.0,0,,,,
,IAB5L,Anesthesia Bag 5 Liter,,,,Each,Each,32.07,no,no,,32.32,0,,,,
,IAML,Anesthesia Mask Lg,HSI,,,Each,Each,39.07,no,no,,0.0,0,,,,
,IAMM,Anesthesia Mask Med,,,,Each,Each,23.13,no,no,,0.0,0,,,,
,IARB,Anesthesia Rebreathing System w/ Bag,,,,Each,Each,18.55,no,no,,0.0,0,,,,
,IAUG,Anesthesia Upper gasket,,,,Each,Each,20.36,no,no,,0.0,0,,,,
,ASSGXXL,Angelstat Surgical Gown XX-Large,,,,Each,Each,23.67,no,no,,0.0,0,,,,
,VITALS600,Animal Trauma Triage (ATT) Score Total,,NOT FOR TRACKING,,Each,Each,0.0,no,yes,0.00%,,0,,,,
,AHE,Annual Health Exam w/ Vaccines,,NOT FOR TRACKING,,Each,Each,0.0,no,no,,62.0,0,,,,
,AC100,Antech Accuplex 4 ( HW plus Tick),,,,Each,Each,23.75,no,no,,71.25,0,,,,
,220,Antech Aerobic & Anaerobic MIC Culture,,,,Each,Each,203.54,no,no,,407.08,0,,,,
,225,Antech Aerobic Bacteria MIC Culture,,,,Each,Each,150.92,no,no,,339.57,0,,,,
,AAIRR,Antech AI Rapid Read Consult,,,,Each,Each,13.3,no,no,,37.5,0,,,,
,SA170A,Antech Autoimmune Profile- Canine,,,,Each,Each,191.26,no,no,,382.52,0,,,,
,T785,Antech Baermann (Fecal Test),,,,Each,Each,130.56,no,no,,195.84,0,,,,
,T225,"Antech Bile Acid, Resting",,,,Each,Each,74.13,no,no,,166.79,0,,,,
,T220,Antech Bile Acids (Pre and Post),,,,Each,Each,115.45,no,no,,259.76,0,,,,
,T520,Antech Bladder Tumor Antigen - Canine,,,,Each,Each,140.57,no,no,,316.28,0,,,,
,ANTBROML,Antech Bromide Levels,,,,Each,Each,153.57,no,no,,345.53,0,,,,
,S16131,Antech Brucella AGID/ SAT,,,,Each,Each,139.49,no,no,,313.85,0,,,,
,ACADBRA,Antech CADET BRAF,,,,Each,Each,229.25,no,no,,343.87,0,,,,
,S18537,Antech Calcium & Ionized Calcium,,,,Each,Each,92.89,no,no,,209.0,0,,,,
,T110,Antech Calcium Level,,,,Each,Each,37.1,no,no,,83.47,0,,,,
