term_type,canonical_name,aliases,category,active,priority,confidence,metadata_json
vet_term,SOAP note,"SOAP, SOAPIE, progress note",document_type,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""clinical charting format""}"
vet_term,discharge instructions,"aftercare, home care, release instructions",document_type,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""client-facing handout""}"
vet_term,anesthesia record,"anesthesia sheet, op note",document_type,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""perioperative record""}"
vet_term,treatment plan,"treatment sheet, plan",document_type,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""clinic-authored care plan""}"
vet_term,veterinary,"vet, animal hospital, pet hospital",source,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""clinic-authored or clinic-facing source cue""}"
vet_term,DVM,VMD,source,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""veterinary clinician credential cue""}"
vet_term,patient,"owner, client, pet",source,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""veterinary context cue""}"
treatment,anesthesia,"sedation, induction, recovery",treatment,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""active procedural care""}"
treatment,surgery,"spay, neuter, dental, biopsy",treatment,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""active procedural care""}"
medication,NSAID,"anti-inflammatory, pain control",medication,true,50,0.95,"{""source_system"":""fluttershy-vet-taxonomy"",""source_file"":""instinct-vet-term-taxonomy.md"",""source_note"":""therapeutic context cue""}"
medication,Abaxis VetScan FELV/FIV Rapid Test,Abaxis VetScan FELV/FIV Rapid Test,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Abaxis Vetscan UA 10 Strip,Abaxis Vetscan UA 10 Strip,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Abaxis Vetscan UA 14 Strip,Abaxis Vetscan UA 14 Strip,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,Acepromazine 10mg/ml INJ,Acepromazine 10mg/ml INJ,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,ADAPTIL Diffuser,ADAPTIL Diffuser,evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
medication,ADAPTIL Refills ( ThunderEase),ADAPTIL Refills ( ThunderEase),evh-medications,true,1,0.93,"{""source_system"":""stockroom"",""source_file"":""Stockroom \u00b7 Instinct Stockroom.csv"",""source_rows"":""3139"",""classification"":""heuristic""}"
