Name,Category,Secondary Category,Quantity,Ordering UoM,Last Count Date,Last Price,Total Cost
"0.9% Sodium Chloride Injection, 1000mL",Pharmaceuticals,Fluid Therapy/Electrolytes,0.67,case,03/30/2026 15:03:53,63.58,42.60
"3M Comply Steam Chemical Indicator, 240 Indicators/Pkg",Autoclaves and Inst Cleaners,Autoclaves Parts and Acc,0.7,order unit,12/04/2025 16:17:10,33.80,23.66
Acepromazine Injection: 50ml (10mg/ml),Pharmaceuticals,Sedatives and Tranquilizers,0.2,bottle,11/21/2025 19:32:31,26.98,5.40
"Adequan Canine (Polysulfated Glycosaminoglycan) Sterile Injection 100mg/mL, 5mL (Multi-Dose)",Pharmaceuticals,Antiinflammatories,0,box,04/06/2026 19:47:31,119.00,0.00
Albon 5% Oral Suspension: 16oz,Pharmaceuticals,Antimicrobial Agents,0.75,bottle,04/21/2026 20:02:42,101.85,76.39
"Alconox Powdered Precision Cleaner, 4lb",Autoclaves and Inst Cleaners,Inst Clean Disinfect Lube,0.6,each,11/08/2025 15:30:08,41.74,25.04
"Alfaxan Multidose (Alfaxalone) Anesthetic Injection for Cats and Dogs 10mg/mL, 20mL",Pharmaceuticals,Anesthetics,0.3,vial,03/30/2026 15:02:34,79.50,23.85
"Aloe and Oatmeal: Pina Colada, 1 Gallon",Grooming,Shampoos and Conditioners,1,order unit,04/21/2026 20:12:42,52.67,52.67
Aloe Vera Antibacterial Hand Soap: Gallon,Facility Supplies,Antiseptics Scrubs Soap,1,order unit,03/10/2026 16:34:31,15.02,15.02
"AlphaTrak 3 Blood Glucose Monitoring Test Strips, 50 Count",,,1,bottle,03/10/2026 16:30:45,47.60,47.60
"Amber Liquid Oval Bottles: 1oz, 12 Count",Facility Supplies,"Bags, Bottles and Jars",0.25,package,03/30/2026 15:29:23,,
"Amlodipine Besylate Tablets: 2.5Mg, 90 Count",Pharmaceuticals,Channel Blockers,0.43,bottle,11/08/2025 15:14:29,1.90,0.82
"Amoxicillin and Clavulanate Potassium Tablets: 125mg, 210 Count",Pharmaceuticals,Antibiotics,0,box,04/21/2026 19:58:45,129.23,0.00
"Amoxicillin and Clavulanate Potassium Tablets: 375mg, 210 Count",Pharmaceuticals,Antibiotics,0.09,bottle,01/29/2026 20:43:46,304.10,27.37
Amoxicillin Capsules 500mg:B500,,,0.86,bottle,03/30/2026 15:29:48,24.04,20.67
"Amoxicillin Capsules: 250mg, 500 Count",Pharmaceuticals,Antimicrobial Agents,0,bottle,12/04/2025 16:58:33,53.48,0.00
"Amoxi-Drop (Amoxicillin) for Veterinary Oral Suspension, 15mL",Pharmaceuticals,Antimicrobial Agents,1,bottle,04/21/2026 20:35:09,6.95,6.95
"Amoxi-Drop (Amoxicillin) for Veterinary Oral Suspension, 30mL",Pharmaceuticals,Antimicrobial Agents,0,bottle,04/21/2026 20:35:11,13.85,0.00
"Ampicillin And Sulbactam: 1.5G/10Ml, 10 Count",Pharmaceuticals,Antimicrobial Agents,0.7,box,04/06/2026 19:47:37,114.29,80.00
"Ampicillin for Injectable Suspension, Sterile, 250mL ",,,N/A,bottle,,39.81,
Anesthesia Clean Air Filter:EACH,,,0,each,04/06/2026 19:41:40,6.18,0.00
Anigen Canine Parvovirus Rapid Test Kit:B10,,,1,order unit,03/30/2026 14:58:11,110.65,110.65
"Animax Ointment, 15mL",Pharmaceuticals,Dermatologic Preparations,0,tube,04/21/2026 19:54:52,10.59,0.00
"Animax Ointment, 30mL",Pharmaceuticals,Dermatologic Preparations,0,tube,04/21/2026 20:32:57,16.83,0.00
"AOE Animal Odor Eliminator Deodorizing Wipes, 80 Count",Facility Supplies,Odor Neutralizers,2,package,04/21/2026 20:14:31,7.41,14.82
"Apomorphine (AQ) 1 mg / mL Injection Solution, 10 mL",Pharmaceuticals,Compounded Medication,N/A,order unit,,52.00,
"Apoquel Chewable Tablets: 16mg, 250 Count",Pharmaceuticals,Immunosuppressants,0.23,bottle,03/30/2026 15:43:30,419.40,96.46
"Apoquel Chewable Tablets: 3.6mg, 250 Count",Pharmaceuticals,Immunosuppressants,0.2,bottle,04/21/2026 19:58:51,419.40,83.88
"Apoquel Chewable Tablets: 5.4mg, 250 Count",Pharmaceuticals,Immunosuppressants,0.24,bottle,03/30/2026 15:27:58,419.40,100.66
Atopivet® Mousse: 250mL (8.45oz),Pharmaceuticals,Dermatologic Preparations,1,bottle,01/29/2026 20:43:52,18.28,18.28
"Atopivet® Spot-On: 2ml, 8 Count",Pharmaceuticals,Dermatologic Preparations,2,box,02/26/2026 21:36:47,25.70,51.40
"Atropine Sulfate Injection: 100ml (1/120Grain, 0.54mg/ml)",Pharmaceuticals,Antimicrobial Agents,1,bottle,01/29/2026 20:59:38,22.96,22.96
Aurocin Ear Cleanser for Dogs & Cats: 8oz,Pharmaceuticals,Otic Cleansers/Drying Agent,2,bottle,11/08/2025 15:14:42,6.00,12.00
"Azithromycin Oral Suspension, USP, 200mg/5mL, Cherry Flavored 30mL Bottle",Pharmaceuticals,Antimicrobial Agents,2,bottle,03/30/2026 15:10:07,3.94,7.88
Azithromycin Oral Suspension:  30ml (40mg/ml),Pharmaceuticals,Antimicrobial Agents,3,bottle,02/26/2026 21:36:51,6.93,20.79
