XLS ID,XLS Product,XLS Supplier,Stockroom ID,Stockroom Product,Supplier To Use
HCCRPE,Heska cCRP Element i+ (12/Box),HSI,HCCRPE,📦Heska cCRP Element i+ (12/Box),HSI
HESKAC,"Heska Cortisol, Element i+ (12/Box)",HSI,HESKAC,"📦Heska Cortisol, Element i+ (12/Box)",HSI
HIPBP,Heska IV Pump Battery Pack,HSI,HIPBP,📦Heska IV Pump Battery Pack,HSI
NUQEI,"Heska NuQ , Element i+ (12/Box)",HSI,NUQEI,"📦Heska NuQ , Element i+ (12/Box)",HSI
POCHESIV,Power Cord for Heska IV Pump,HSI,POCHESIV,📦Power Cord for Heska IV Pump,HSI
VSFELFIV,Abaxis VetScan FELV/FIV Rapid Test,"BI, PATL, ABA",VSFELFIV,Abaxis VetScan FELV/FIV Rapid Test,"BI, PATL, ABA"
UA10,Abaxis Vetscan UA 10 Strip,ABA,UA10,Abaxis Vetscan UA 10 Strip,ABA
UA14,Abaxis Vetscan UA 14 Strip,ABA,UA14,Abaxis Vetscan UA 14 Strip,ABA
ACTHUT,Adrenal Panel to UT,"IDEXX, IAL, HSI",ACTHUT,Adrenal Panel to UT,"IDEXX, IAL, HSI"
IAML,Anesthesia Mask Lg,"HSI, BAYSE",IAML,Anesthesia Mask Lg,"HSI, BAYSE"
IAMM,Anesthesia Mask Med,"HSI, BAYSE",IAMM,Anesthesia Mask Med,"HSI, BAYSE"
AC100,Antech Accuplex 4 ( HW plus Tick),IAL,AC100,Antech Accuplex 4 ( HW plus Tick),IAL
220,Antech Aerobic & Anaerobic MIC Culture,"IDEXX, IAL, HSI",220,Antech Aerobic & Anaerobic MIC Culture,"IDEXX, IAL, HSI"
225,Antech Aerobic Bacteria MIC Culture,"IDEXX, IAL, HSI",225,Antech Aerobic Bacteria MIC Culture,"IDEXX, IAL, HSI"
AAIRR,Antech AI Rapid Read Consult,IAL,AAIRR,Antech AI Rapid Read Consult,IAL
SA170A,Antech Autoimmune Profile- Canine,IAL,SA170A,Antech Autoimmune Profile- Canine,IAL
T785,Antech Baermann (Fecal Test),IAL,T785,Antech Baermann (Fecal Test),IAL
T225,"Antech Bile Acid, Resting",IAL,T225,"Antech Bile Acid, Resting",IAL
T220,Antech Bile Acids (Pre and Post),IAL,T220,Antech Bile Acids (Pre and Post),IAL
T520,Antech Bladder Tumor Antigen - Canine,IAL,T520,Antech Bladder Tumor Antigen - Canine,IAL
ANTBROML,Antech Bromide Levels,IAL,ANTBROML,Antech Bromide Levels,IAL
S16131,Antech Brucella AGID/ SAT,IAL,S16131,Antech Brucella AGID/ SAT,IAL
ACADBRA,Antech CADET BRAF,IAL,ACADBRA,Antech CADET BRAF,IAL
