source_row,account_pims_code,patient_name,weight,mapped_alert_ids,mapped_alert_labels,status,account_id,patient_id,error
6,9234,Boo,5.4,,,applied,cbc723ad-16ed-4691-90a3-f9f10007594e,19912,
7,10204,Jack,63.8,,,applied,afdb697b-a623-48f2-a103-0e038d521b45,11007,
8,11707,Oreo,50.4,,,applied,c48c672e-6bb6-4f79-9c7f-8642771b0464,5314,
9,11391,Big boy,12.96,,,applied,fc13e143-85f2-4004-9c18-b5d4c95d7048,6593,
10,6152,Chaney,11.4,,,applied,6f487d73-153a-4e7e-8e97-7d83e63bb83f,14744,
11,11274,Thor,98.2,284,Muzzle for Treatments,applied,ae760155-39f8-4592-aa71-d47ed8973347,22094,
12,11135,Murray,11.16,,,applied,3997408b-24ec-484c-8e80-e401b40e461d,6256,
13,11243,Dancer,10.59,,,applied,0effacdc-b235-4faf-821d-de99b35f422e,8176,
14,3379,Private,80.4,,,applied,8a73a989-5db4-442f-8c5e-71b733a473e8,236,
15,9736,Cracker,94.6,,,applied,c3e60e57-120f-4743-919d-aa3891ea1ec9,992,
16,11065,Bonnet,77.4,,,applied,e313d892-e303-4213-a8ce-151553a67d6d,17725,
17,10852,Gemma,34.8,,,applied,91c81065-5f7a-4594-b9bb-a5dca2e815d2,3701,
18,8267,Sabian,50.2,,,applied,eb373c30-9883-4f0c-ae17-1f896d317ad0,22192,
19,7596,Rockwell,54.0,,,applied,223f1058-a0fa-42e7-a5d6-f8b65bca0ce1,203,
20,11817,Nala,55.2,,,applied,030ec0f6-55b4-416d-89a0-0ea88bcefdff,24944,
21,10950,Zeus,60.0,,,applied,2f9c5e17-289e-4f6c-b392-921d984c30c8,2559,
22,11880,Lily,11.12,,,applied,a996e02c-5108-4de3-951f-a198c9f94b43,11563,
23,11613,Mr. Luna,9.62,,,applied,6c4c6334-3b93-4ea0-b494-d6f035f76e97,22967,
24,8659,Reggie,12.44,,,applied,9b341772-79e6-4516-82ff-daaec211359e,3019,
25,11668,Sky,48.8,,,applied,ed81084a-43b7-4247-a3ad-ec7ed3b05aef,24287,
26,11926,Iceland,1.75,,,skipped_missing_account,,,No Instinct account match by pimsCode
27,11466,Chloe,10.6,,,applied,a1b2b939-2d56-4b1c-8521-f61d0a4b2287,24294,
28,11646,Snickerz,10.66,,,applied,7c8e82cc-57fc-4d52-82e6-0984c71e807a,4595,
29,10521,Eli,41.2,,,applied,ebcbeb69-7816-4ed1-a762-79988d89708e,2577,
30,8936,Dundee,13.0,,,applied,642416fd-55a3-4cfd-8c79-1f707c8785c5,9135,
31,11298,Monty,94.8,,,applied,b0b77b45-9459-493d-b054-0fddf0236d5b,12378,
32,4073,Muffin,6.84,,,applied,89ae9f33-d281-4556-ad60-a900c24476a1,20325,
33,10100,Zoey,7.2,,,applied,e4cb61ad-c2a9-4450-b3da-3b7095bce43a,14043,
34,11846,Bentley,6.19,,,applied,2791313a-cfa5-49be-9bf4-e64524b040b2,21455,
35,11076,Mewan,10.47,,,applied,db4e86ce-4e0d-4d58-abce-9edb39165372,17094,
36,11351,Rolo,0.0,,,applied,bd5a6f56-b872-43c2-b080-b778d51ff7af,12539,
37,11436,Mia,48.2,"215,284",Caution - Will Bite | Muzzle for Treatments,applied,4b6dd121-1ee9-41ee-bee3-ff21a3da70b5,4537,
38,10510,Auggie,9.8,,,applied,f037be90-8acb-4a6e-a32c-41b3c49f914f,16593,
39,10149,Ridley,68.8,,,applied,21045ebd-df70-4c72-9c39-0ad2c2696d37,8309,
40,9596,Tom,13.06,215,Caution - Will Bite,applied,40c1704e-6817-4a0d-84d7-2c6e5e886d51,216,
41,9324,Lilly,9.8,,,applied,844e458f-17ec-45b9-b77a-4d10dc48d511,2602,
42,11669,Peanut,14.09,,,applied,d8ff8a08-9a64-42ba-b9d2-12625d7aeeda,2213,
43,11435,Pheobe,10.4,,,applied,13310026-358b-47e2-8f8b-14a605142f04,490,
44,10615,Floyd,6.6,,,applied,5f316d37-73ca-4410-87e1-28aa03315b27,13451,
45,2948,Tuff,15.0,,,applied,6736b0b9-1a4c-44dc-8b3c-67264c99809c,1186,
46,11595,Regan,54.2,,,applied,1a9b0acd-0e74-4989-9590-85df2202d1ac,3667,
47,6059,Big Boi,59.8,,,applied,c9fc7a45-5aa9-4127-843f-18ad4cd26858,11307,
48,11834,Lily,9.34,,,applied,cdd1aa22-59b5-49c8-ade3-178b2455d1e6,24671,
49,8992,Mya,67.4,,,applied,0e15fb3e-5278-4a28-ba7c-90d63a56db5a,10815,
50,6535,Nero,17.94,,,applied,8aa10858-89ee-4317-b05a-26198fab2fa7,14077,
51,10374,Kit Kat,9.34,,,applied,37bef419-1cde-419e-b134-1be87c914fbc,9324,
52,9726,Isabelle,18.44,,,applied,100b0dbc-aece-497a-a190-13df292b4f66,24172,
53,9327,Steve Pawgers,19.0,,,applied,847af34f-de11-44a7-a2ae-83d8c9af1748,19857,
54,9964,Chewie,61.2,,,applied,4e641998-1cbd-46ca-b10d-f3bcd19d868e,5440,
55,11766,Max,0.0,,,applied,255399b2-bd9d-42c9-8b14-ecd6c576f66a,1262,
56,10654,Posey,31.8,,,applied,81baa2c6-be29-43d2-b20f-9393655a21f6,20934,
57,1608,Emilia,24.6,,,applied,20cba5c5-d585-470f-ae86-24041ed96d0d,11760,
58,11354,Casca,28.8,,,applied,2d897f83-1d8d-48e6-864d-a5f9853d9b6a,4446,
