id,code,label,notes
a298f9f3-45aa-4684-8650-97baef8725c6,ABA,Abaxis,51-675-6500
b2ab2ada-7451-4605-8fae-0c0c89ec4794,ADMED,Advantage Medical,407-333-3555
e34d6c6c-a076-476d-a996-e08f9eadbc61,0117,Airgas USA LLC,770-590-6038 Act.# 1292380 Ext 6038
40d86b55-7d51-4079-95c1-c8a0238243c7,IAW,Airwick,800-523-6070
34afbb21-dd9f-4006-8ef4-2bf6176dee17,ALLI,Allivet,877-500-9944
2c16ed32-3dac-4e30-b1a5-32ecdfadb3a4,AAHA,American Animal Hospital,800-883-6301
68749239-14c5-48e5-9395-f4e8f03025d8,ADL,Animal Dermatology Lab,800-521-252
06b8e873-0302-4907-88e4-67be1db3a612,IAL,Antech Labs,800-872-1001
5b354ba4-d7c9-44e1-8667-cf7edf60c977,APS,APS Pharmacy,888-547-2654
863d9861-94cc-483f-98e4-8ba82bff64e2,BAY,Bayer,800-633-3796
4c43df96-03d2-4c40-8002-bb87ffd7ff89,BAYP,Bay Pharmacy,352-357-4341
21a0c465-2c4a-408d-bad2-00d8f48c6d14,BAYSE,Bayse Janitor Supply,352-357-3303
d38ea365-074e-49b4-b2f3-75529c359196,BM,Bio Medical Services,800-444-2370
bd358990-3021-4237-a223-f350371742fa,BIOPRO,BioPro Research,1877URINEOFF
dc06f948-7f9b-45e8-a8b6-5e27516e31b3,BI,Boehringer Ingelheim,866-638-2226
69d253a9-babe-4335-bfce-cbc58f052564,BAH,Butler Schein,888-691-2724
2de661a5-a420-4fee-b037-be1f2ace6ba5,CAMP,Campbell Pet Company,800-228-6364
e2fc5940-297a-4cbe-a598-112062f4ce69,CBDVP,CBD Vet Products,863-513-4987
75b149ce-8280-46df-ad78-8a927ca8cc52,CHOMP,Chompers Lawn Care,352-516-4445
0477fc2e-c7d0-42cc-930c-fdb6b4ece275,COV,Covetrus,877-999-2838
e173223a-5e55-429d-8008-7b2399a56bad,CVS,CVS Pharmacy,352-343-1502
86478d05-3ea6-468a-8909-30d7f1477a42,CSI,Cypress Supply Inc,407-332-0556
68e35664-4003-4083-827f-7c86ed622f41,DIATECH,Diatech Inc,1-800-222-185
